STATEFP,COUNTYFP,TRACTCE,GEOID,place_name
01,001,020100,01001020100,Prattville
01,001,020200,01001020200,Prattville
01,001,020300,01001020300,Prattville
01,001,020400,01001020400,Prattville
01,001,020500,01001020500,Prattville
01,001,020600,01001020600,Prattville
01,001,020700,01001020700,Prattville
01,001,020801,01001020801,NA
01,001,020802,01001020802,NA
01,001,020900,01001020900,NA
01,001,021000,01001021000,NA
01,001,021100,01001021100,NA
01,003,010100,01003010100,NA
01,003,010200,01003010200,NA
01,003,010300,01003010300,NA
01,003,010400,01003010400,NA
01,003,010500,01003010500,Bay Minette
01,003,010600,01003010600,Bay Minette
01,003,010701,01003010701,Spanish Fort
01,003,010703,01003010703,NA
01,003,010704,01003010704,Daphne
01,003,010705,01003010705,Daphne
01,003,010800,01003010800,Daphne
01,003,010903,01003010903,NA
01,003,010904,01003010904,NA
01,003,010905,01003010905,Silverhill
01,003,010906,01003010906,Robertsdale
01,003,011000,01003011000,Summerdale
01,003,011101,01003011101,Fairhope
01,003,011102,01003011102,NA
01,003,011201,01003011201,Fairhope
01,003,011202,01003011202,Fairhope
01,003,011300,01003011300,NA
01,003,011401,01003011401,NA
01,003,011403,01003011403,Gulf Shores
01,003,011405,01003011405,Orange Beach
01,003,011406,01003011406,Orange Beach
01,003,011407,01003011407,Gulf Shores
01,003,011408,01003011408,NA
01,003,011501,01003011501,Foley
01,003,011502,01003011502,Foley
01,003,011601,01003011601,NA
01,003,011602,01003011602,NA
01,003,990000,01003990000,NA
01,005,950100,01005950100,NA
01,005,950200,01005950200,Clayton
01,005,950300,01005950300,Louisville
01,005,950400,01005950400,NA
01,005,950500,01005950500,NA
01,005,950600,01005950600,Eufaula
01,005,950700,01005950700,Eufaula
01,005,950800,01005950800,Eufaula
01,005,950900,01005950900,Eufaula
01,007,010001,01007010001,NA
01,007,010002,01007010002,NA
01,007,010003,01007010003,NA
01,007,010004,01007010004,Brent
01,009,050101,01009050101,NA
01,009,050102,01009050102,Oneonta
01,009,050200,01009050200,Cleveland
01,009,050300,01009050300,Susan Moore
01,009,050400,01009050400,NA
01,009,050500,01009050500,NA
01,009,050601,01009050601,NA
01,009,050602,01009050602,NA
01,009,050700,01009050700,NA
01,011,952100,01011952100,NA
01,011,952200,01011952200,Union Springs
01,011,952500,01011952500,NA
01,013,952700,01013952700,NA
01,013,952800,01013952800,Greenville
01,013,952900,01013952900,Greenville
01,013,953000,01013953000,NA
01,013,953100,01013953100,Greenville
01,013,953200,01013953200,NA
01,013,953300,01013953300,NA
01,013,953400,01013953400,NA
01,013,953500,01013953500,NA
01,015,000200,01015000200,Anniston
01,015,000300,01015000300,Anniston
01,015,000400,01015000400,Saks
01,015,000500,01015000500,Anniston
01,015,000600,01015000600,Anniston
01,015,000700,01015000700,Anniston
01,015,000800,01015000800,Anniston
01,015,000900,01015000900,Anniston
01,015,001000,01015001000,Anniston
01,015,001100,01015001100,Oxford
01,015,001201,01015001201,Oxford
01,015,001202,01015001202,Oxford
01,015,001300,01015001300,West End-Cobb Town
01,015,001400,01015001400,NA
01,015,001500,01015001500,NA
01,015,001600,01015001600,Saks
01,015,001700,01015001700,Saks
01,015,001800,01015001800,Weaver
01,015,002000,01015002000,Choccolocco
01,015,002101,01015002101,Jacksonville
01,015,002102,01015002102,Jacksonville
01,015,002103,01015002103,Jacksonville
01,015,002200,01015002200,Piedmont
01,015,002300,01015002300,NA
01,015,002400,01015002400,NA
01,015,002501,01015002501,Alexandria
01,015,002502,01015002502,NA
01,015,002600,01015002600,Ohatchee
01,015,981901,01015981901,NA
01,015,981902,01015981902,NA
01,015,981903,01015981903,NA
01,017,953800,01017953800,NA
01,017,953900,01017953900,Lanett
01,017,954000,01017954000,NA
01,017,954200,01017954200,Huguley
01,017,954300,01017954300,NA
01,017,954400,01017954400,NA
01,017,954500,01017954500,Lanett
01,017,954600,01017954600,Valley
01,017,954700,01017954700,NA
01,019,955701,01019955701,Cedar Bluff
01,019,955702,01019955702,NA
01,019,955800,01019955800,Sand Rock
01,019,955900,01019955900,NA
01,019,956000,01019956000,Centre
01,019,956100,01019956100,NA
01,021,060101,01021060101,Clanton
01,021,060102,01021060102,Clanton
01,021,060200,01021060200,NA
01,021,060300,01021060300,NA
01,021,060401,01021060401,Thorsby
01,021,060402,01021060402,NA
01,021,060500,01021060500,Maplesville
01,021,060600,01021060600,NA
01,021,060700,01021060700,NA
01,023,956700,01023956700,NA
01,023,956800,01023956800,Butler
01,023,956900,01023956900,NA
01,023,957000,01023957000,NA
01,025,957500,01025957500,NA
01,025,957601,01025957601,NA
01,025,957602,01025957602,Thomasville
01,025,957700,01025957700,NA
01,025,957800,01025957800,NA
01,025,957901,01025957901,NA
01,025,957902,01025957902,Jackson
01,025,958001,01025958001,NA
01,025,958002,01025958002,NA
01,027,958900,01027958900,NA
01,027,959000,01027959000,NA
